EquipmentNo,Age (Yrs),Station Name,24Hr,AM,PM,Outages,Scheduled,Non-Scheduled,Entrapments
EL111,22,168 St - Washington Hts - 1/A/C Line(s),97.16 %,100.00 %,95.00 %,4,1,3,0
EL112,22,168 St - Washington Hts - 1/A/C Line(s),98.98 %,100.00 %,100.00 %,1,1,0,0
EL113,21,168 St - Washington Hts - 1/A/C Line(s),98.50 %,100.00 %,94.40 %,4,1,3,0
EL114,22,168 St - Washington Hts - 1/A/C Line(s),94.06 %,81.25 %,100.00 %,4,0,4,1
EL107,20,181 St - 1 Line(s),98.87 %,100.00 %,100.00 %,1,0,1,0
EL108,20,181 St - 1 Line(s),99.13 %,98.37 %,100.00 %,3,0,3,0
EL109,20,181 St - 1 Line(s),96.58 %,97.60 %,97.14 %,10,2,8,0
EL110,20,181 St - 1 Line(s),99.04 %,96.41 %,100.00 %,13,0,13,0
EL117,17,181 St - A Line(s),100.00 %,100.00 %,100.00 %,2,0,2,0
EL118,15,181 St - A Line(s),98.47 %,97.37 %,99.57 %,5,2,3,0
EL119,34,181 St - A Line(s),87.27 %,89.64 %,82.16 %,14,2,12,4
EL115,18,190 St - A Line(s),98.61 %,98.03 %,95.33 %,5,0,5,0
EL116,14,190 St - A Line(s),90.38 %,93.55 %,88.77 %,8,2,6,1
EL120,34,190 St - A Line(s),97.94 %,100.00 %,96.77 %,7,1,6,0
EL103,15,191 St - 1 Line(s),98.02 %,100.00 %,100.00 %,5,4,1,0
EL104,15,191 St - 1 Line(s),92.74 %,95.62 %,100.00 %,11,4,7,0
EL105,17,191 St - 1 Line(s),92.00 %,93.55 %,93.43 %,4,2,2,2
EL106,17,191 St - 1 Line(s),82.13 %,84.92 %,76.56 %,33,4,29,3
EL200X,,34 St - Herald Sq - B/D/F/M/N/Q/R/W Line(s),98.12 %,100.00 %,96.91 %,,,,
EL287X,,42 St - Bryant Park - 5 Av - B/D/F/M/7 Line(s),96.83 %,93.55 %,100.00 %,,,,
EL294X,,42 St - Bryant Park - 5 Av - B/D/F/M/7 Line(s),96.81 %,96.37 %,94.80 %,,,,
EL295X,,42 St - Bryant Park - 5 Av - B/D/F/M/7 Line(s),88.26 %,86.57 %,89.78 %,,,,
EL281,10,57 St - 7 Av - N/Q/R/W Line(s),98.45 %,98.45 %,100.00 %,3,1,2,1
EL418X,,61 St - Woodside - 7 Line(s),99.40 %,100.00 %,100.00 %,,,,
EL419X,,61 St - Woodside - 7 Line(s),98.90 %,100.00 %,100.00 %,,,,
EL308,18,Borough Hall / Court St - 2/3/4/5/R Line(s),97.73 %,100.00 %,97.82 %,4,1,3,2
EL309,18,Borough Hall / Court St - 2/3/4/5/R Line(s),99.04 %,100.00 %,100.00 %,2,1,1,0
EL424,2,Briarwood - Van Wyck - E/F Line(s),94.39 %,94.76 %,92.46 %,10,1,9,2
EL310,19,Clark St - 2/3 Line(s),98.97 %,100.00 %,100.00 %,2,2,0,0
EL311,19,Clark St - 2/3 Line(s),94.62 %,99.45 %,92.42 %,7,3,4,1
EL312,19,Clark St - 2/3 Line(s),96.05 %,98.33 %,100.00 %,5,3,2,2
EL14X,,Cortlandt St - R/W Line(s),98.64 %,100.00 %,99.64 %,,,,
EL16X,,Cortlandt St - R/W Line(s),98.58 %,100.00 %,100.00 %,,,,
EL17X,,Cortlandt St - R/W Line(s),98.61 %,100.00 %,99.59 %,,,,
EL22X,,Cortlandt St - R/W Line(s),98.76 %,100.00 %,100.00 %,,,,
EL733X,,Fulton St - A/C/J/Z/2/3/4/5 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL747X,,Hoyt-Schermerhorn St,98.26 %,98.19 %,96.77 %,,,,
EL327X,,Jay St - MetroTech - A/C/F/R Line(s),100.00 %,100.00 %,100.00 %,,,,
EL11X,,WTC Cortlandt - 1 Line(s),100.00 %,100.00 %,100.00 %,,,,
EL12X,,WTC Cortlandt - 1 Line(s),99.40 %,100.00 %,100.00 %,,,,
EL13X,,WTC Cortlandt - 1 Line(s),99.89 %,100.00 %,99.33 %,,,,
